studio,month,day,genre,domestic_gross
BV,6,mid,comedy_gross,415000000.0
P/DW,5,mid,comedy_gross,238700000.0
BV,11,end,comedy_gross,200800000.0
Uni.,7,beg,comedy_gross,251500000.0
P/DW,11,beg,comedy_gross,148400000.0
Uni.,12,end,comedy_gross,148400000.0
WB (NL),5,end,comedy_gross,95300000.0
Sony,6,end,comedy_gross,162000000.0
Fox,12,end,comedy_gross,42800000.0
WB (NL),2,mid,comedy_gross,110500000.0
WB,11,beg,comedy_gross,100500000.0
WB,12,mid,comedy_gross,100200000.0
Sony,8,beg,comedy_gross,119200000.0
Fox,4,beg,comedy_gross,98700000.0
Sony,3,mid,comedy_gross,67099999.0
WB,7,end,comedy_gross,43600000.0
Fox,1,end,comedy_gross,60000000.0
LGF,6,beg,comedy_gross,47100000.0
LGF,4,mid,comedy_gross,48100000.0
Uni.,6,beg,comedy_gross,61000000.0
P/DW,7,end,comedy_gross,73000000.0
Fox,6,beg,comedy_gross,33600000.0
W/Dim.,8,mid,comedy_gross,25000000.0
Fox,8,mid,comedy_gross,36700000.0
Sum.,5,mid,comedy_gross,53000000.0
Fox,3,mid,comedy_gross,64000000.0
SGem,9,mid,comedy_gross,58400000.0
MGM,3,end,comedy_gross,50300000.0
Par.,11,beg,comedy_gross,31000000.0
WB,2,end,comedy_gross,44900000.0
LGF,9,mid,comedy_gross,25100000.0
Mira.,8,mid,comedy_gross,27800000.0
Par.,3,mid,comedy_gross,32000000.0
Sony,12,mid,comedy_gross,30200000.0
Uni.,8,mid,comedy_gross,31500000.0
LGF,1,mid,comedy_gross,24300000.0
BV,1,end,comedy_gross,32700000.0
WB (NL),9,beg,comedy_gross,17800000.0
Sum.,4,beg,comedy_gross,17600000.0
Focus,7,beg,comedy_gross,20800000.0
SPC,5,end,comedy_gross,3200000.0
Uni.,1,beg,comedy_gross,25900000.0
BV,9,end,comedy_gross,25700000.0
Fox,7,end,comedy_gross,26200000.0
FoxS,5,mid,comedy_gross,21500000.0
FoxS,3,mid,comedy_gross,20300000.0
SPC,12,end,comedy_gross,3200000.0
UTV,6,end,comedy_gross,848000.0
Focus,12,end,comedy_gross,1800000.0
SPC,11,mid,comedy_gross,1100000.0
SPC,12,end,comedy_gross,560000.0
Uni.,5,end,comedy_gross,8500000.0
RAtt.,4,mid,comedy_gross,1500000.0
Focus,10,beg,comedy_gross,6400000.0
Focus,3,end,comedy_gross,4200000.0
PDA,1,end,comedy_gross,3300000.0
Drft.,11,beg,comedy_gross,305000.0
SPC,1,end,comedy_gross,4000000.0
Free,10,end,comedy_gross,109000.0
WB,8,beg,comedy_gross,1800000.0
Eros,10,beg,comedy_gross,855000.0
ATO,12,mid,comedy_gross,1000000.0
Eros,7,end,comedy_gross,542000.0
Magn.,9,beg,comedy_gross,409000.0
Magn.,8,beg,comedy_gross,453000.0
IFC,11,mid,comedy_gross,392000.0
Mira.,12,beg,comedy_gross,278000.0
FOAK,9,beg,comedy_gross,107000.0
Abr.,10,beg,comedy_gross,11400.0
WB,5,end,comedy_gross,254500000.0
Sony,7,end,comedy_gross,142600000.0
BV,6,mid,comedy_gross,191500000.0
Fox,4,mid,comedy_gross,143600000.0
Fox,12,mid,comedy_gross,133100000.0
Uni.,5,mid,comedy_gross,169100000.0
Par.,3,beg,comedy_gross,123500000.0
Sony,1,mid,comedy_gross,98800000.0
Sony,6,mid,comedy_gross,100300000.0
WB (NL),7,beg,comedy_gross,117500000.0
Fox,6,mid,comedy_gross,68200000.0
Uni.,4,beg,comedy_gross,108100000.0
FoxS,11,mid,comedy_gross,82600000.0
Sony,7,beg,comedy_gross,80400000.0
BV,11,end,comedy_gross,88600000.0
Uni.,10,end,comedy_gross,8300000.0
Uni.,11,beg,comedy_gross,78000000.0
SPC,5,mid,comedy_gross,56800000.0
WB,11,mid,comedy_gross,64000000.0
Sony,11,mid,comedy_gross,74200000.0
SGem,7,end,comedy_gross,55800000.0
Par.,1,end,comedy_gross,70700000.0
Sony,11,end,comedy_gross,46500000.0
WB,7,end,comedy_gross,84400000.0
WB (NL),12,beg,comedy_gross,54500000.0
Wein.,10,mid,comedy_gross,44700000.0
Fox,12,end,comedy_gross,75600000.0
Uni.,3,mid,comedy_gross,37400000.0
WB (NL),2,end,comedy_gross,45100000.0
Fox,2,mid,comedy_gross,37900000.0
Uni.,8,beg,comedy_gross,37100000.0
Fox,3,end,comedy_gross,52700000.0
Uni.,6,end,comedy_gross,35600000.0
Uni.,1,mid,comedy_gross,48500000.0
WB,5,beg,comedy_gross,39000000.0
BV,7,mid,comedy_gross,26700000.0
Sony,8,mid,comedy_gross,37100000.0
Fox,7,beg,comedy_gross,23200000.0
Sum.,9,end,comedy_gross,35000000.0
TriS,5,beg,comedy_gross,37300000.0
Fox,12,beg,comedy_gross,30400000.0
Wein.,9,mid,comedy_gross,9700000.0
Fox,9,end,comedy_gross,14000000.0
Uni.,1,beg,comedy_gross,21600000.0
Wein.,8,end,comedy_gross,24800000.0
FD,10,end,comedy_gross,13100000.0
MBox,1,beg,comedy_gross,1600000.0
Par.,12,mid,comedy_gross,16300000.0
SPC,7,end,comedy_gross,5400000.0
RAtt.,4,mid,comedy_gross,164000.0
Focus,6,mid,comedy_gross,5800000.0
FoxS,3,mid,comedy_gross,10200000.0
Jan.,10,end,comedy_gross,612000.0
BV,4,end,comedy_gross,10100000.0
Fox,10,mid,comedy_gross,7200000.0
Rela.,3,beg,comedy_gross,6900000.0
FoxS,2,mid,comedy_gross,6900000.0
SGem,7,end,comedy_gross,1000000.0
OMNI/FSR,11,beg,comedy_gross,1200000.0
PDA,10,beg,comedy_gross,4400000.0
LGF,1,end,comedy_gross,3000000.0
IFC,8,mid,comedy_gross,5000.0
LGF,12,beg,comedy_gross,161000.0
RAtt.,5,mid,comedy_gross,2700000.0
Relbig.,8,end,comedy_gross,1800000.0
IFC,2,beg,comedy_gross,1700.0
Wein.,6,beg,comedy_gross,468000.0
IFC,3,mid,comedy_gross,68700.0
Relbig.,7,beg,comedy_gross,544000.0
IFC,10,beg,comedy_gross,119000.0
IFC,2,beg,comedy_gross,25400.0
WHE,1,end,comedy_gross,383000.0
P4,11,mid,comedy_gross,8500.0
IFC,3,end,comedy_gross,328000.0
MPFT,4,beg,comedy_gross,103000.0
Gold.,9,beg,comedy_gross,200000.0
IFC,3,mid,comedy_gross,141000.0
Magn.,9,beg,comedy_gross,100000.0
Wein.,10,beg,comedy_gross,55100.0
IFC,7,end,comedy_gross,41000.0
Magn.,10,beg,comedy_gross,22300.0
IFC,6,beg,comedy_gross,1900.0
IFC,10,beg,comedy_gross,1300.0
Fox,7,mid,comedy_gross,161300000.0
P/DW,6,beg,comedy_gross,216400000.0
Uni.,6,end,comedy_gross,218800000.0
BV,6,end,comedy_gross,237300000.0
BV,11,beg,comedy_gross,189400000.0
Sony,9,end,comedy_gross,148300000.0
WB (NL),2,beg,comedy_gross,103900000.0
WB,5,mid,comedy_gross,79700000.0
Wein.,12,end,comedy_gross,132100000.0
Uni.,4,beg,comedy_gross,57000000.0
Sony,3,mid,comedy_gross,138400000.0
Rela.,3,end,comedy_gross,64900000.0
Par.,5,mid,comedy_gross,59700000.0
WB,6,end,comedy_gross,113700000.0
Fox,2,mid,comedy_gross,54800000.0
FoxS,5,end,comedy_gross,46400000.0
Fox,12,end,comedy_gross,77300000.0
Uni.,9,end,comedy_gross,65000000.0
Sony,8,beg,comedy_gross,63500000.0
Focus,8,mid,comedy_gross,56000000.0
WB,8,beg,comedy_gross,86900000.0
WB,3,beg,comedy_gross,54700000.0
SGem,4,mid,comedy_gross,91500000.0
